Category,Message
ham,Are we still on for lunch today?
spam,URGENT! Your account has been selected for a cash prize. Click now!
ham,Please send me the meeting notes when you can.
spam,Win a free smartphone by entering this offer today!
ham,I'll call you back in 10 minutes.
spam,Congratulations
ham,Don't forget to buy milk on your way home.
spam,Claim your free voucher before it expires!
ham,Thanks for your help with the project.
spam,You have been chosen for a special deal. Reply YES now!
ham,Can you review my report by tomorrow?
spam,Lowest prices guaranteed! Buy now and save big.
ham,We should leave around 7 PM.
spam,Exclusive offer for you only. Act fast!
ham,I'll be late to the meeting.
spam,Get a free trial of premium services today.
ham,Did you finish the assignment?
spam,Limited-time discount on all products. Shop now!
ham,See you at the gym after work.
spam,You have been approved for a loan. Apply now!
ham,The package arrived safely.
spam,Earn money from home with this simple trick!
ham,Let's catch up this weekend.
spam,Free entry into our contest. No purchase needed!
ham,I'm on my way.
spam,You won a brand new car. Claim it now!
ham,Please call mom when you get a chance.
spam,This is not a scam. Confirm your bank details immediately!
ham,I'll send the files this afternoon.
spam,Special promotion: buy one get one free.
ham,Thanks for the reminder.
spam,Your subscription has expired. Renew now to continue.
ham,Are you coming to the party tonight?
spam,Congratulations
ham,The teacher moved the exam to Friday.
spam,Easy income opportunity waiting for you.
ham,I'll meet you outside the office.
spam,Free gift waiting for you. Just click the link.
ham,Can you share the presentation slides?
spam,You have been pre-approved for a credit card.
ham,We need to reschedule our call.
spam,Act now to receive your bonus prize.
ham,My phone battery is almost dead.
spam,Winner! Text back to collect your reward.
ham,Please water the plants while I'm away.
spam,Get rich quick with this proven method.
ham,I'm picking up groceries after work.
spam,Don't miss this unbelievable offer.
ham,Let me know when you're available.
spam,Your phone number has been selected for a giveaway.
ham,I'll bring the dessert tonight.
spam,Free access to premium content for 24 hours only.
ham,The conference starts at 9 AM.
spam,Buy now and get an extra 50 percent off.
ham,Can we talk tomorrow morning?
spam,Exclusive reward inside. Open the message now!
ham,The meeting agenda is attached below.
spam,You are our lucky winner today!
ham,I'll forward your email to the team.
spam,Click here to unlock your free reward.
ham,Dinner is ready.
spam,Hot deal! Save money instantly by signing up today.
ham,The bus is running a little late.
spam,Reply YES to receive your instant prize.